背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
1,0,,afield,5,3,15,168,,
1,0,,alter,5,3,29,169,,
1,0,,amass,5,3,43,170,,
1,0,,ample,5,3,48,170,,
1,1,2020年9月9日,anecdotal,5,3,36,169,,
1,1,2020年9月9日,antecedent,5,3,83,172,,
1,1,2020年9月9日,apprentice,5,3,92,173,,
1,0,,aquatic,5,3,60,171,,
1,0,,assemblage,5,3,74,172,,
1,0,,authenticity,5,3,95,173,,
1,0,,autobiography,5,3,65,171,,
1,0,,auxiliary,5,3,77,172,,
1,0,,bustle,5,3,94,173,,
1,0,,camouflage,5,3,21,168,,
1,0,,canoe,5,3,72,171,,
1,0,,cellular,5,3,23,168,,
1,1,2020年9月9日,ceramic,5,3,46,170,,
1,0,,chore,5,3,10,167,,
1,0,,cobble,5,3,38,169,,
1,1,2020年9月9日,coerce,5,3,53,170,,
1,0,,compaction,5,3,61,171,,
1,1,2020年9月9日,concurrent,5,3,31,169,,
1,0,,configuration,5,3,34,169,,
1,0,,decease,5,3,40,169,,
1,1,2020年9月9日,derive,5,3,64,171,,
1,1,2020年9月9日,detrimental,5,3,14,168,,
1,0,,dispersal,5,3,100,173,,
1,1,2020年9月9日,elusive,5,3,81,172,,
1,0,,enigmatic,5,3,85,172,,
1,0,,entangle,5,3,13,168,,
1,1,2020年9月9日,escalate,5,3,12,168,,
1,1,2020年9月9日,fetus,5,3,24,168,,
1,1,2020年9月9日,feudal,5,3,28,169,,
1,1,2020年9月9日,fledge,5,3,89,173,,
1,1,2020年9月9日,flicker,5,3,45,170,,
1,0,,furious,5,3,80,172,,
1,0,,furnace,5,3,84,172,,
1,1,2020年9月9日,garment,5,3,52,170,,
1,1,2020年9月9日,gauge,5,3,37,169,,
1,0,,gear,5,3,32,169,,
1,1,2020年9月9日,grandiose,5,3,22,168,,
1,0,,greasy,5,3,93,173,,
1,0,,grind,5,3,71,171,,
1,0,,grinding,5,3,16,168,,
1,0,,indigestion,5,3,2,167,,
1,0,,indispensable,5,3,55,170,,
1,0,,inscription,5,3,99,173,,
1,0,,insulate,5,3,20,168,,
1,1,2020年9月9日,interim,5,3,3,167,,
1,0,,interruption,5,3,27,169,,
1,0,,interstellar,5,3,63,171,,
1,0,,landslide,5,3,18,168,,
1,0,,linear,5,3,96,173,,
1,0,,manipulate,5,3,87,172,,
1,0,,maturation,5,3,79,172,,
1,1,2020年9月9日,metallic,5,3,5,167,,
1,1,2020年9月9日,mirage,5,3,39,169,,
1,0,,moist,5,3,62,171,,
1,1,2020年9月9日,mound,5,3,75,172,,
1,0,,mutate,5,3,51,170,,
1,0,,nomadic,5,3,30,169,,
1,1,2020年9月9日,obsession,5,3,82,172,,
1,1,2020年9月9日,obstruct,5,3,88,172,,
1,1,2020年9月9日,overlap,5,3,67,171,,
1,1,2020年9月9日,parasitic,5,3,7,167,,
1,1,2020年9月9日,perplex,5,3,90,173,,
1,0,,phenomenon,5,3,54,170,,
1,0,,pluck,5,3,66,171,,
1,0,,porcelain,5,3,4,167,,
1,0,,prior,5,3,97,173,,
1,0,,prosperity,5,3,91,173,,
1,0,,psychologist,5,3,41,170,,
1,0,,repress,5,3,49,170,,
1,0,,resonate,5,3,17,168,,
1,0,,rhythmical,5,3,44,170,,
1,0,,rigidity,5,3,86,172,,
1,0,,rivalry,5,3,68,171,,
1,1,2020年9月9日,saturate,5,3,59,171,,
1,1,2020年9月9日,scrap,5,3,26,169,,
1,1,2020年9月9日,sibling,5,3,76,172,,
1,0,,silt,5,3,69,171,,
1,0,,slender,5,3,6,167,,
1,0,,sophisticate,5,3,8,167,,
1,0,,spawn,5,3,58,171,,
1,1,2020年9月9日,specify,5,3,19,168,,
1,0,,spout,5,3,1,167,,
1,0,,standpoint,5,3,25,169,,
1,0,,stature,5,3,35,169,,
1,0,,stem,5,3,11,167,,
1,0,,tar,5,3,70,171,,
1,0,,terrace,5,3,9,167,,
1,1,2020年9月9日,thorn,5,3,57,170,,
1,0,,tile,5,3,42,170,,
1,0,,transmission,5,3,78,172,,
1,0,,unsuspecting,5,3,98,173,,
1,0,,urinate,5,3,50,170,,
1,1,2020年9月9日,vein,5,3,47,170,,
1,1,2020年9月9日,vent,5,3,56,170,,
1,0,,waterfowl,5,3,33,169,,
1,0,,waterwheel,5,3,73,171,,
