背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
,,1900年3月22日,analogue,5,4,82,,,
,,1900年3月29日,animate,5,4,89,,,
,,1900年3月17日,antiquity,5,4,77,,,
,,1900年3月6日,backdrop,5,4,66,,,
,,1900年1月9日,backtrack,5,4,9,,,
,,1900年2月1日,beam,5,4,32,,,
,,1900年1月18日,blemish,5,4,18,,,
,,1900年3月14日,cache,5,4,74,,,
,,1900年3月24日,captive,5,4,84,,,
,,1900年2月5日,carrier,5,4,36,,,
,,1900年1月12日,cathedral,5,4,12,,,
,,1900年3月11日,chain,5,4,71,,,
,,1900年2月10日,charcoal,5,4,41,,,
,,1900年1月6日,commemorate,5,4,6,,,
,,1900年1月13日,communal,5,4,13,,,
,,1900年2月12日,compositional,5,4,43,,,
,,1900年1月8日,conflate,5,4,8,,,
,,1900年3月27日,congestion,5,4,87,,,
,,1900年3月26日,default,5,4,86,,,
,,1900年3月10日,deformity,5,4,70,,,
,,1900年4月4日,dehydration,5,4,95,,,
,,1900年3月30日,destabilize,5,4,90,,,
,,1900年2月20日,dictator,5,4,51,,,
,,1900年2月26日,dispersion,5,4,57,,,
,,1900年2月2日,disproportionate,5,4,33,,,
,,1900年1月14日,distill,5,4,14,,,
,,1900年3月13日,dwindle,5,4,73,,,
,,1900年1月1日,dynamic,5,4,1,,,
,,1900年4月6日,elliptical,5,4,97,,,
,,1900年1月24日,entrepreneur,5,4,24,,,
,,1900年3月18日,entwine,5,4,78,,,
,,1900年2月17日,fragment,5,4,48,,,
,,1900年3月31日,frontal,5,4,91,,,
,,1900年3月16日,fusion,5,4,76,,,
,,1900年2月19日,gist,5,4,50,,,
,,1900年1月28日,gland,5,4,28,,,
,,1900年2月23日,gravel,5,4,54,,,
,,1900年4月5日,gravitation,5,4,96,,,
,,1900年3月12日,hail,5,4,72,,,
,,1900年3月19日,hectare,5,4,79,,,
,,1900年2月9日,hind,5,4,40,,,
,,1900年2月4日,horsepower,5,4,35,,,
,,1900年3月7日,humanitarian,5,4,67,,,
,,1900年4月1日,immobile,5,4,92,,,
,,1900年2月3日,incorporate,5,4,34,,,
,,1900年2月6日,indigenous,5,4,37,,,
,,1900年1月15日,induce,5,4,15,,,
,,1900年3月9日,inevitable,5,4,69,,,
,,1900年3月23日,interference,5,4,83,,,
,,1900年1月27日,intermittent,5,4,27,,,
,,1900年2月24日,inventory,5,4,55,,,
,,1900年1月11日,isle,5,4,11,,,
,,1900年1月19日,literacy,5,4,19,,,
,,1900年1月20日,mandarin,5,4,20,,,
,,1900年1月10日,mania,5,4,10,,,
,,1900年4月3日,meticulous,5,4,94,,,
,,1900年2月21日,micronutrient,5,4,52,,,
,,1900年2月13日,molten,5,4,44,,,
,,1900年1月16日,nitrate,5,4,16,,,
,,1900年2月29日,nucleus,5,4,60,,,
,,1900年2月14日,ornament,5,4,45,,,
,,1900年3月15日,overt,5,4,75,,,
,,1900年1月31日,paramount,5,4,31,,,
,,1900年3月25日,perennial,5,4,85,,,
,,1900年3月20日,pictorial,5,4,80,,,
,,1900年1月25日,predetermine,5,4,25,,,
,,1900年2月15日,prominent,5,4,46,,,
,,1900年3月1日,propel,5,4,61,,,
,,1900年2月8日,puff,5,4,39,,,
,,1900年1月23日,radioactive,5,4,23,,,
,,1900年1月30日,remediation,5,4,30,,,
,,1900年4月2日,resemble,5,4,93,,,
,,1900年1月29日,respiration,5,4,29,,,
,,1900年2月28日,revitalize,5,4,59,,,
,,1900年1月4日,ribbon,5,4,4,,,
,,1900年4月7日,ridge,5,4,98,,,
,,1900年2月11日,rigor,5,4,42,,,
,,1900年3月8日,savory,5,4,68,,,
,,1900年3月21日,scarcity,5,4,81,,,
,,1900年1月7日,shimmer,5,4,7,,,
,,1900年1月21日,silhouette,5,4,21,,,
,,1900年3月3日,sodium,5,4,63,,,
,,1900年2月27日,solitary,5,4,58,,,
,,1900年2月18日,stiff,5,4,49,,,
,,1900年3月2日,streak,5,4,62,,,
,,1900年3月4日,subterranean,5,4,64,,,
,,1900年3月5日,suppress,5,4,65,,,
,,1900年1月3日,surmise,5,4,3,,,
,,1900年1月22日,symphony,5,4,22,,,
,,1900年2月7日,synthesize,5,4,38,,,
,,1900年2月16日,tangle,5,4,47,,,
,,1900年1月17日,telltale,5,4,17,,,
,,1900年2月22日,unleash,5,4,53,,,
,,1900年1月5日,unprecedented,5,4,5,,,
,,1900年1月2日,velocity,5,4,2,,,
,,1900年2月25日,velvet,5,4,56,,,
,,1900年1月26日,wagon,5,4,26,,,
,,1900年3月28日,wrinkle,5,4,88,,,
