5,0.12,2020年11月23日,100,,,,,本行表示本列表背诵次数，最后一次遗忘率和最后一次背诵时间,
背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
,0,,acquire,4,3,84,103,,
,0,,adhere,4,3,93,104,,
,0,,advantageous,4,3,72,103,,
,0,,alliance,4,3,8,99,,
,0,,amphibian,4,3,33,101,,
,0,,applicable,4,3,44,101,,
,0,,arouse,4,3,92,104,,
,0,,bizarre,4,3,48,101,,
,0,,boiler,4,3,83,103,,
,0,,bronze,4,3,10,99,,
,0,,budget,4,3,80,103,,
,0,,burial,4,3,90,104,,
,0,,campaign,4,3,26,100,,
,0,,capacity,4,3,62,102,,
,1,2020年11月23日,celebrity,4,3,74,103,celebrate,
,0,,circular,4,3,4,99,,
,0,,colonize,4,3,46,101,,
,1,2020年9月15日,comment,4,3,22,100,,
,0,,commodity,4,3,69,103,,
,3,2020年9月27日,comprehend,4,3,49,101,,
,1,2020年11月23日,constructive,4,3,12,99,,
,0,,deforest,4,3,17,100,,
,0,,desirability,4,3,45,101,,
,4,2020年11月23日,deviate,4,3,40,101,divert divorce,
,0,,diplomacy,4,3,64,102,,
,0,,discourage,4,3,96,104,,
,4,2020年11月23日,divert,4,3,67,102,deviate,
,0,,elaborate,4,3,31,100,,
,0,,electrify,4,3,38,101,,
,0,,enduring,4,3,89,104,,
,0,,equality,4,3,15,100,,
,0,,erosion,4,3,63,102,,
,0,,evolve,4,3,58,102,,
,1,2020年11月23日,exaggerate,4,3,70,103,,
,0,,expel,4,3,97,104,,
,0,,exploit,4,3,11,99,,
,3,2020年11月23日,fleshy,4,3,75,103,,
,0,,fuse,4,3,32,100,refuse,
,2,2020年9月27日,habitual,4,3,19,100,habitant inhibit,
,0,,halt,4,3,2,99,,
,0,,herb,4,3,7,99,,
,0,,hop,4,3,24,100,,
,0,,implement,4,3,100,104,,
,0,,indicator,4,3,6,99,,
,0,,intellectual,4,3,5,99,,
,1,2020年11月23日,interval,4,3,82,103,,
,0,,intimate,4,3,9,99,,
,0,,intrude,4,3,71,103,,
,0,,liberate,4,3,55,102,,
,1,2020年9月15日,medieval,4,3,20,100,,
,0,,miner,4,3,91,104,,
,0,,multiply,4,3,77,103,,
,0,,mythology,4,3,39,101,,
,0,,narrator,4,3,14,99,,
,0,,nasty,4,3,34,101,,
,0,,observance,4,3,36,101,,
,0,,ongoing,4,3,47,101,,
,0,,opportunist,4,3,86,104,,
,0,,outbreak,4,3,81,103,,
,0,,pasture,4,3,21,100,,
,0,,peer,4,3,41,101,,
,2,2020年11月23日,persevere,4,3,98,104,,
,0,,physicist,4,3,28,100,,
,1,2020年11月23日,proponent,4,3,16,100,,
,0,,proportion,4,3,73,103,,
,3,2020年9月27日,prospect,4,3,85,104,,
,0,,realism,4,3,30,100,,
,3,2020年9月27日,recount,4,3,60,102,encounter,
,1,2020年9月8日,recreational,4,3,42,101,,
,3,2020年9月27日,refute,4,3,27,100,refuse,
,0,,reliant,4,3,50,101,,
,0,,respectable,4,3,35,101,,
,0,,revolutionize,4,3,53,102,,
,0,,rival,4,3,79,103,,
,0,,rotate,4,3,68,103,,
,3,2020年9月27日,seep,4,3,78,103,sap,
,0,,sensible,4,3,51,102,,
,0,,sequence,4,3,18,100,,
,0,,shed,4,3,43,101,,
,0,,soar,4,3,23,100,,
,0,,specialist,4,3,56,102,,
,0,,spice,4,3,57,102,,
,1,2020年9月25日,statue,4,3,87,104,stature,
,0,,sting,4,3,3,99,,
,0,,stool,4,3,95,104,,
,0,,stroke,4,3,29,100,,
,1,2020年11月23日,subjective,4,3,94,104,,
,0,,submarine,4,3,13,99,,
,0,,suppose,4,3,66,102,,
,0,,sway,4,3,52,102,,
,0,,swing,4,3,1,99,,
,0,,switch,4,3,76,103,,
,3,2020年11月23日,symbolism,4,3,65,102,,
,0,,tend,4,3,59,102,,
,0,,thesis,4,3,61,102,,
,0,,urbanization,4,3,25,100,,
,0,,vaporize,4,3,54,102,,
,0,,variable,4,3,99,104,,
,0,,withdrawal,4,3,88,104,,
,1,2020年11月23日,worship,4,3,37,101,,
