背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
,,1900年2月17日,adept,5,5,48,,,
,,1900年1月13日,aesthetic,5,5,13,,,
,,1900年1月5日,alertness,5,5,5,,,
,,1900年1月30日,align,5,5,30,,,
,,1900年2月10日,allot,5,5,41,,,
,,1900年4月6日,amnesia,5,5,97,,,
,,1900年2月3日,amplify,5,5,34,,,
,,1900年2月25日,asymmetrical,5,5,56,,,
,,1900年3月15日,blade,5,5,75,,,
,,1900年2月28日,cabin,5,5,59,,,
,,1900年2月2日,canon,5,5,33,,,
,,1900年1月9日,canvas,5,5,9,,,
,,1900年2月5日,catholic,5,5,36,,,
,,1900年2月18日,cavity,5,5,49,,,
,,1900年1月14日,consensus,5,5,14,,,
,,1900年2月12日,conventional,5,5,43,,,
,,1900年1月28日,corrode,5,5,28,,,
,,1900年3月2日,cosmopolitan,5,5,62,,,
,,1900年3月14日,crust,5,5,74,,,
,,1900年3月17日,decimal,5,5,77,,,
,,1900年3月20日,defer,5,5,80,,,
,,1900年2月24日,deposition,5,5,55,,,
,,1900年1月3日,discoloration,5,5,3,,,
,,1900年1月4日,discrete,5,5,4,,,
,,1900年1月15日,dismiss,5,5,15,,,
,,1900年3月11日,embed,5,5,71,,,
,,1900年2月11日,emblem,5,5,42,,,
,,1900年3月24日,embody,5,5,84,,,
,,1900年3月9日,enigma,5,5,69,,,
,,1900年1月18日,exertion,5,5,18,,,
,,1900年3月7日,feeble,5,5,67,,,
,,1900年1月21日,feedback,5,5,21,,,
,,1900年2月26日,fetch,5,5,57,,,
,,1900年2月19日,flop,5,5,50,,,
,,1900年2月27日,fluidity,5,5,58,,,
,,1900年3月27日,germinate,5,5,87,,,
,,1900年3月30日,glandular,5,5,90,,,
,,1900年3月21日,hinder,5,5,81,,,
,,1900年3月25日,hospitalize,5,5,85,,,
,,1900年3月13日,immaturity,5,5,73,,,
,,1900年1月1日,imperil,5,5,1,,,
,,1900年3月28日,impersonate,5,5,88,,,
,,1900年3月10日,incentive,5,5,70,,,
,,1900年1月2日,incite,5,5,2,,,
,,1900年3月5日,jar,5,5,65,,,
,,1900年3月19日,legislation,5,5,79,,,
,,1900年2月1日,linen,5,5,32,,,
,,1900年1月20日,linguist,5,5,20,,,
,,1900年4月9日,loom,5,5,100,,,
,,1900年3月12日,maxim,5,5,72,,,
,,1900年3月6日,maze,5,5,66,,,
,,1900年2月16日,merchandise,5,5,47,,,
,,1900年2月7日,microbial,5,5,38,,,
,,1900年2月15日,mitigate,5,5,46,,,
,,1900年3月31日,monastery,5,5,91,,,
,,1900年4月8日,paradigm,5,5,99,,,
,,1900年2月8日,patriotic,5,5,39,,,
,,1900年2月9日,pile,5,5,40,,,
,,1900年2月4日,prolific,5,5,35,,,
,,1900年1月19日,proposition,5,5,19,,,
,,1900年3月22日,prosperous,5,5,82,,,
,,1900年3月29日,raft,5,5,89,,,
,,1900年3月8日,recede,5,5,68,,,
,,1900年3月23日,regiment,5,5,83,,,
,,1900年1月31日,retraction,5,5,31,,,
,,1900年1月10日,retrieval,5,5,10,,,
,,1900年2月13日,rigid,5,5,44,,,
,,1900年1月6日,ripple,5,5,6,,,
,,1900年2月20日,rite,5,5,51,,,
,,1900年4月7日,ritualize,5,5,98,,,
,,1900年1月29日,rotary,5,5,29,,,
,,1900年2月21日,rudimentary,5,5,52,,,
,,1900年1月17日,scoop,5,5,17,,,
,,1900年2月14日,secretion,5,5,45,,,
,,1900年4月4日,segment,5,5,95,,,
,,1900年1月11日,snap,5,5,11,,,
,,1900年3月1日,sovereign,5,5,61,,,
,,1900年4月5日,stack,5,5,96,,,
,,1900年2月22日,stalk,5,5,53,,,
,,1900年2月6日,strait,5,5,37,,,
,,1900年1月22日,strata,5,5,22,,,
,,1900年1月23日,stray,5,5,23,,,
,,1900年1月12日,subsidy,5,5,12,,,
,,1900年1月25日,substantially,5,5,25,,,
,,1900年4月1日,sulfur,5,5,92,,,
,,1900年1月26日,surpass,5,5,26,,,
,,1900年1月7日,surveyor,5,5,7,,,
,,1900年1月16日,symbiotic,5,5,16,,,
,,1900年2月29日,thaw,5,5,60,,,
,,1900年3月4日,tuck,5,5,64,,,
,,1900年1月8日,turbulent,5,5,8,,,
,,1900年1月24日,ubiquitous,5,5,24,,,
,,1900年3月18日,ultraviolet,5,5,78,,,
,,1900年3月26日,unsophisticated,5,5,86,,,
,,1900年4月3日,vacuum,5,5,94,,,
,,1900年1月27日,viper,5,5,27,,,
,,1900年3月16日,warehouse,5,5,76,,,
,,1900年3月3日,willow,5,5,63,,,
,,1900年2月23日,yarn,5,5,54,,,
,,1900年4月2日,yield,5,5,93,,,
